id,course,question_text,question_type,order
1,EDA 105,"When evaluating Concepts and Scope, holistic development is often seen as a catalyst for:",mcq,1
2,EDA 105,Identify the major factor influencing colonial era within the context of Historical Development.,mcq,2
3,EDA 105,"When evaluating Philosophy and Goals, self-reliance is often seen as a catalyst for:",mcq,3
4,EDA 105,"When evaluating Psychological Foundations, stages of artistic development is often seen as a catalyst for:",mcq,4
5,EDA 105,Which of the following best describes the concept of community values in Sociological Perspectives?,mcq,5
6,EDA 105,True or False: STEAM is considered a secondary element in the framework of Relationship with Other Disciplines.,true_false,6
7,EDA 105,"When evaluating Professional Ethics, professionalism is often seen as a catalyst for:",mcq,7
8,EDA 105,True or False: holistic development is considered a secondary element in the framework of Concepts and Scope.,true_false,8
9,EDA 105,"When evaluating Historical Development, pre-colonial is often seen as a catalyst for:",mcq,9
10,EDA 105,Which of the following best describes the concept of creative thinking in Philosophy and Goals?,mcq,10
11,EDA 105,Identify the major factor influencing stages of artistic development within the context of Psychological Foundations.,mcq,11
12,EDA 105,"In the Nigerian educational system, cultural transmission plays a vital role in Sociological Perspectives by:",mcq,12
13,EDA 105,A key characteristic of language arts as discussed in EDA 105 is:,mcq,13
14,EDA 105,"In the Nigerian educational system, integrity plays a vital role in Professional Ethics by:",mcq,14
15,EDA 105,Which of the following best describes the concept of holistic development in Concepts and Scope?,mcq,15
16,EDA 105,"When evaluating Historical Development, 1969 curriculum conference is often seen as a catalyst for:",mcq,16
17,EDA 105,Which scholar is most associated with the study of cultural identity in Philosophy and Goals?,mcq,17
18,EDA 105,A key characteristic of Piaget as discussed in EDA 105 is:,mcq,18
19,EDA 105,Which scholar is most associated with the study of cultural preservation in Sociological Perspectives?,mcq,19
20,EDA 105,A key characteristic of integration as discussed in EDA 105 is:,mcq,20
21,EDA 105,"According to scholars in EDA 105, integrity is primarily concerned with:",mcq,21
22,EDA 105,"According to scholars in EDA 105, holistic development is primarily concerned with:",mcq,22
23,EDA 105,"In the Nigerian educational system, 1969 curriculum conference plays a vital role in Historical Development by:",mcq,23
24,EDA 105,"When evaluating Philosophy and Goals, National Policy on Education is often seen as a catalyst for:",mcq,24
25,EDA 105,Identify the major factor influencing stages of artistic development within the context of Psychological Foundations.,mcq,25
26,EDA 105,True or False: socialization is considered a secondary element in the framework of Sociological Perspectives.,true_false,26
27,EDA 105,"According to scholars in EDA 105, integration is primarily concerned with:",mcq,27
28,EDA 105,"In the Nigerian educational system, professionalism plays a vital role in Professional Ethics by:",mcq,28
29,EDA 105,Which of the following best describes the concept of visual arts in Concepts and Scope?,mcq,29
30,EDA 105,Which of the following best describes the concept of colonial era in Historical Development?,mcq,30
31,EDA 105,A key characteristic of creative thinking as discussed in EDA 105 is:,mcq,31
32,EDA 105,Identify the major factor influencing cognitive growth within the context of Psychological Foundations.,mcq,32
33,EDA 105,True or False: socialization is considered a secondary element in the framework of Sociological Perspectives.,true_false,33
34,EDA 105,Identify the major factor influencing STEAM within the context of Relationship with Other Disciplines.,mcq,34
35,EDA 105,A key characteristic of confidentiality as discussed in EDA 105 is:,mcq,35
36,EDA 105,True or False: holistic development is considered a secondary element in the framework of Concepts and Scope.,true_false,36
37,EDA 105,"According to scholars in EDA 105, 1969 curriculum conference is primarily concerned with:",mcq,37
38,EDA 105,A key characteristic of creative thinking as discussed in EDA 105 is:,mcq,38
39,EDA 105,Which of the following best describes the concept of Piaget in Psychological Foundations?,mcq,39
40,EDA 105,Identify the major factor influencing community values within the context of Sociological Perspectives.,mcq,40
41,EDA 105,Which scholar is most associated with the study of integration in Relationship with Other Disciplines?,mcq,41
42,EDA 105,True or False: professionalism is considered a secondary element in the framework of Professional Ethics.,true_false,42
43,EDA 105,A key characteristic of performing arts as discussed in EDA 105 is:,mcq,43
44,EDA 105,Identify the major factor influencing 1969 curriculum conference within the context of Historical Development.,mcq,44
45,EDA 105,A key characteristic of cultural identity as discussed in EDA 105 is:,mcq,45
46,EDA 105,Which scholar is most associated with the study of Lowenfeld in Psychological Foundations?,mcq,46
47,EDA 105,"In the Nigerian educational system, socialization plays a vital role in Sociological Perspectives by:",mcq,47
48,EDA 105,"In the Nigerian educational system, interdisciplinary learning plays a vital role in Relationship with Other Disciplines by:",mcq,48
49,EDA 105,"In the Nigerian educational system, teacher-student boundaries plays a vital role in Professional Ethics by:",mcq,49
50,EDA 105,Identify the major factor influencing holistic development within the context of Concepts and Scope.,mcq,50
51,EDA 105,Which scholar is most associated with the study of 1969 curriculum conference in Historical Development?,mcq,51
52,EDA 105,"In the Nigerian educational system, cultural identity plays a vital role in Philosophy and Goals by:",mcq,52
53,EDA 105,Which of the following best describes the concept of stages of artistic development in Psychological Foundations?,mcq,53
54,EDA 105,Which scholar is most associated with the study of cultural transmission in Sociological Perspectives?,mcq,54
55,EDA 105,A key characteristic of STEAM as discussed in EDA 105 is:,mcq,55
56,EDA 105,Which scholar is most associated with the study of confidentiality in Professional Ethics?,mcq,56
57,EDA 105,True or False: aesthetic is considered a secondary element in the framework of Concepts and Scope.,true_false,57
58,EDA 105,True or False: Aina Onabolu is considered a secondary element in the framework of Historical Development.,true_false,58
59,EDA 105,"In the Nigerian educational system, self-reliance plays a vital role in Philosophy and Goals by:",mcq,59
60,EDA 105,"According to scholars in EDA 105, Piaget is primarily concerned with:",mcq,60
61,EDA 105,A key characteristic of cultural preservation as discussed in EDA 105 is:,mcq,61
62,EDA 105,"When evaluating Relationship with Other Disciplines, integration is often seen as a catalyst for:",mcq,62
63,EDA 105,Identify the major factor influencing teacher-student boundaries within the context of Professional Ethics.,mcq,63
64,EDA 105,"According to scholars in EDA 105, performing arts is primarily concerned with:",mcq,64
65,EDA 105,Identify the major factor influencing 1969 curriculum conference within the context of Historical Development.,mcq,65
66,EDA 105,Which scholar is most associated with the study of self-reliance in Philosophy and Goals?,mcq,66
67,EDA 105,Identify the major factor influencing stages of artistic development within the context of Psychological Foundations.,mcq,67
68,EDA 105,A key characteristic of cultural preservation as discussed in EDA 105 is:,mcq,68
69,EDA 105,"According to scholars in EDA 105, interdisciplinary learning is primarily concerned with:",mcq,69
70,EDA 105,Which of the following best describes the concept of teacher-student boundaries in Professional Ethics?,mcq,70
71,EDA 105,Identify the major factor influencing visual arts within the context of Concepts and Scope.,mcq,71
72,EDA 105,Which of the following best describes the concept of 1969 curriculum conference in Historical Development?,mcq,72
73,EDA 105,Which of the following best describes the concept of National Policy on Education in Philosophy and Goals?,mcq,73
74,EDA 105,"According to scholars in EDA 105, stages of artistic development is primarily concerned with:",mcq,74
75,EDA 105,"When evaluating Sociological Perspectives, cultural transmission is often seen as a catalyst for:",mcq,75
76,EDA 105,Which of the following best describes the concept of interdisciplinary learning in Relationship with Other Disciplines?,mcq,76
77,EDA 105,Which of the following best describes the concept of teacher-student boundaries in Professional Ethics?,mcq,77
78,EDA 105,"According to scholars in EDA 105, visual arts is primarily concerned with:",mcq,78
79,EDA 105,True or False: colonial era is considered a secondary element in the framework of Historical Development.,true_false,79
80,EDA 105,A key characteristic of self-reliance as discussed in EDA 105 is:,mcq,80
81,EDA 105,Identify the major factor influencing cognitive growth within the context of Psychological Foundations.,mcq,81
82,EDA 105,True or False: cultural transmission is considered a secondary element in the framework of Sociological Perspectives.,true_false,82
83,EDA 105,A key characteristic of STEAM as discussed in EDA 105 is:,mcq,83
84,EDA 105,A key characteristic of integrity as discussed in EDA 105 is:,mcq,84
85,EDA 105,"According to scholars in EDA 105, holistic development is primarily concerned with:",mcq,85
86,EDA 105,"When evaluating Historical Development, colonial era is often seen as a catalyst for:",mcq,86
87,EDA 105,Which scholar is most associated with the study of National Policy on Education in Philosophy and Goals?,mcq,87
88,EDA 105,"In the Nigerian educational system, stages of artistic development plays a vital role in Psychological Foundations by:",mcq,88
89,EDA 105,True or False: cultural transmission is considered a secondary element in the framework of Sociological Perspectives.,true_false,89
90,EDA 105,Identify the major factor influencing language arts within the context of Relationship with Other Disciplines.,mcq,90
91,EDA 105,Which of the following best describes the concept of integrity in Professional Ethics?,mcq,91
92,EDA 105,A key characteristic of visual arts as discussed in EDA 105 is:,mcq,92
93,EDA 105,A key characteristic of pre-colonial as discussed in EDA 105 is:,mcq,93
94,EDA 105,"When evaluating Philosophy and Goals, creative thinking is often seen as a catalyst for:",mcq,94
95,EDA 105,"When evaluating Psychological Foundations, Lowenfeld is often seen as a catalyst for:",mcq,95
96,EDA 105,"In the Nigerian educational system, cultural preservation plays a vital role in Sociological Perspectives by:",mcq,96
97,EDA 105,"In the Nigerian educational system, integration plays a vital role in Relationship with Other Disciplines by:",mcq,97
98,EDA 105,True or False: confidentiality is considered a secondary element in the framework of Professional Ethics.,true_false,98
99,EDA 105,A key characteristic of performing arts as discussed in EDA 105 is:,mcq,99
100,EDA 105,A key characteristic of colonial era as discussed in EDA 105 is:,mcq,100
101,EDA 106,True or False: dynamic is considered a secondary element in the framework of Concept of Culture.,true_false,1
102,EDA 106,"In the Nigerian educational system, language plays a vital role in Elements of Culture by:",mcq,2
103,EDA 106,True or False: acculturation is considered a secondary element in the framework of Culture and Society.,true_false,3
104,EDA 106,"In the Nigerian educational system, Benin bronzes plays a vital role in Nigerian Cultural Heritage by:",mcq,4
105,EDA 106,"According to scholars in EDA 106, secular art is primarily concerned with:",mcq,5
106,EDA 106,"According to scholars in EDA 106, hybridity is primarily concerned with:",mcq,6
107,EDA 106,True or False: Ministry of Culture is considered a secondary element in the framework of Cultural Policy in Nigeria.,true_false,7
108,EDA 106,"In the Nigerian educational system, dynamic plays a vital role in Concept of Culture by:",mcq,8
109,EDA 106,Identify the major factor influencing norms within the context of Elements of Culture.,mcq,9
110,EDA 106,"In the Nigerian educational system, social structure plays a vital role in Culture and Society by:",mcq,10
111,EDA 106,"According to scholars in EDA 106, traditional festivals is primarily concerned with:",mcq,11
112,EDA 106,True or False: symbolism is considered a secondary element in the framework of Art as a Cultural Expression.,true_false,12
113,EDA 106,"According to scholars in EDA 106, digital culture is primarily concerned with:",mcq,13
114,EDA 106,"According to scholars in EDA 106, promotion is primarily concerned with:",mcq,14
115,EDA 106,Which of the following best describes the concept of material culture in Concept of Culture?,mcq,15
116,EDA 106,Which scholar is most associated with the study of language in Elements of Culture?,mcq,16
117,EDA 106,Which scholar is most associated with the study of enculturation in Culture and Society?,mcq,17
118,EDA 106,Which scholar is most associated with the study of Igbo-Ukwu in Nigerian Cultural Heritage?,mcq,18
119,EDA 106,Which of the following best describes the concept of symbolism in Art as a Cultural Expression?,mcq,19
120,EDA 106,"In the Nigerian educational system, digital culture plays a vital role in Globalization and Culture by:",mcq,20
121,EDA 106,"When evaluating Cultural Policy in Nigeria, promotion is often seen as a catalyst for:",mcq,21
122,EDA 106,Which of the following best describes the concept of dynamic in Concept of Culture?,mcq,22
123,EDA 106,Which scholar is most associated with the study of symbols in Elements of Culture?,mcq,23
124,EDA 106,Which scholar is most associated with the study of enculturation in Culture and Society?,mcq,24
125,EDA 106,"When evaluating Nigerian Cultural Heritage, Nok art is often seen as a catalyst for:",mcq,25
126,EDA 106,"When evaluating Art as a Cultural Expression, secular art is often seen as a catalyst for:",mcq,26
127,EDA 106,Identify the major factor influencing cultural imperialism within the context of Globalization and Culture.,mcq,27
128,EDA 106,Which scholar is most associated with the study of preservation in Cultural Policy in Nigeria?,mcq,28
129,EDA 106,True or False: shared values is considered a secondary element in the framework of Concept of Culture.,true_false,29
130,EDA 106,True or False: symbols is considered a secondary element in the framework of Elements of Culture.,true_false,30
131,EDA 106,Identify the major factor influencing social structure within the context of Culture and Society.,mcq,31
132,EDA 106,"According to scholars in EDA 106, Nok art is primarily concerned with:",mcq,32
133,EDA 106,"According to scholars in EDA 106, symbolism is primarily concerned with:",mcq,33
134,EDA 106,"When evaluating Globalization and Culture, global village is often seen as a catalyst for:",mcq,34
135,EDA 106,True or False: preservation is considered a secondary element in the framework of Cultural Policy in Nigeria.,true_false,35
136,EDA 106,"When evaluating Concept of Culture, shared values is often seen as a catalyst for:",mcq,36
137,EDA 106,"When evaluating Elements of Culture, norms is often seen as a catalyst for:",mcq,37
138,EDA 106,"In the Nigerian educational system, cultural change plays a vital role in Culture and Society by:",mcq,38
139,EDA 106,"In the Nigerian educational system, Igbo-Ukwu plays a vital role in Nigerian Cultural Heritage by:",mcq,39
140,EDA 106,Which of the following best describes the concept of symbolism in Art as a Cultural Expression?,mcq,40
141,EDA 106,"When evaluating Globalization and Culture, digital culture is often seen as a catalyst for:",mcq,41
142,EDA 106,"When evaluating Cultural Policy in Nigeria, preservation is often seen as a catalyst for:",mcq,42
143,EDA 106,Which of the following best describes the concept of material culture in Concept of Culture?,mcq,43
144,EDA 106,Which scholar is most associated with the study of norms in Elements of Culture?,mcq,44
145,EDA 106,Identify the major factor influencing social structure within the context of Culture and Society.,mcq,45
146,EDA 106,True or False: Igbo-Ukwu is considered a secondary element in the framework of Nigerian Cultural Heritage.,true_false,46
147,EDA 106,A key characteristic of ritual art as discussed in EDA 106 is:,mcq,47
148,EDA 106,"When evaluating Globalization and Culture, cultural imperialism is often seen as a catalyst for:",mcq,48
